,ampl,autocor,br_fa,eta,famp,mad,stet_K,totvar,Q,M,pTime,pAmp,VType,EPIC,peak1_period,peak2_period,peak3_period,peak1_amp,peak2_amp,peak3_amp,num_sigpeaks
134,20804.14144,17,0.641137118,0.035155532,8479.433431,3957.2815530000003,0.785708044,3647.631801,0.85,-0.35,10.67,0.98,B,204130613,383.8104989999988,1000.0,1000.0,0.01575832464876155,1000.0,1000.0,1
135,2573.094724,22,9.243965792000001,0.0054915369999999995,1699.177237,210.9213671,0.649555664,696.3191702,0.58,1.24,2.63,0.21,QPD,204137184,63.96840833333347,1000.0,1000.0,0.0873880519007201,1000.0,1000.0,1
136,4110.097815,40,1.462249748,0.005434215,2796.006938,862.7537612,0.671828896,823.3196742,0.58,0.3,6.94,0.42,QPD,204142243,8.925827208139507,6.2919765565573575,7.832868774489772,0.09690377099685737,0.08123362613753972,0.21032002576416117,3
137,36754.89208,19,1.209484044,0.006600159,69143.15426,13029.06722,0.840696205,6050.597720000001,0.42,0.11,1.72,0.05,QPS,204147776,383.81045235000096,10.966012924285742,12.380982333871,0.16745582226035,0.0017487110017187777,0.002543869278632989,1
138,3389.513629,25,0.643280156,0.004137261,2994.931494,997.8728167000002,0.80360754,1359.086872,0.46,-0.2,2.81,0.13,QPS,204160652,95.79940398750011,17.418073452272747,23.94985099687503,0.18579329342426418,0.004599246193414075,0.008239991438515816,1
139,2013.5979260000001,306,0.30778831100000004,0.037799142,1271.097747,354.6783979,0.750054655,219.97487809999998,1.0,-0.55,28.18,0.12,B,204161056,383.81060924999923,13.707521758928545,18.276695678571393,0.3840794481815881,0.001100139908447161,0.022854412010316672,2
140,62109.26689,51,2.310690418,0.002759087,52332.93731,17986.60514,0.776338777,15513.80532,0.91,0.63,7.93,0.54,APD,204176565,63.91734770000008,29.500314323076964,11.621335945454561,0.182306944942582,0.12252445541076115,0.03758730167751978,3
141,10630.6539,473,3.014425263,0.041774753,8023.366279000001,2003.2054739999999,0.763678669,979.2875111,0.72,-0.19,2.21,0.4,QPS,204181799,383.8104854999983,38.38104854999983,19.190524274999916,0.8337857361597029,0.1331244019641272,0.05964035378612836,3
142,1924.186093,57,0.94844226,0.001968132,1879.737518,1158.755387,0.844906788,765.3956728999999,0.04,-0.04,6.76,0.14,P,204182919,383.8104439500012,23.988152746875073,13.234842894827626,0.021095410683677433,0.006872279055606592,0.008749065234846528,2
143,4687.615417,58,0.808017277,0.004239876,4455.3087909999995,1482.49015,0.738546734,1085.978873,1.0,-0.14,17.2,1.62,S,204187094,76.72122984999987,27.40043923214281,18.266959488095207,0.25670875186467623,0.08620176229667376,0.08889665277841954,3
