ampl,autocor,br_fa,eta,famp,mad,stet_K,totvar,Q,M,pTime,pAmp,VType,EPIC
4270.799557,151,0.643395647,0.00058585,6447.664415,1461.315576,0.800558438,580.6429621,0.19,-0.31,15.62,0.07,QPS,204193996
10620.38314,111,1.660886166,0.012859538,7813.026952,2827.552575,0.760763334,1583.809856,0.45,0.35,14.71,0.23,QPD,204206295
779.5638388,11,2.188495095,0.045817489,415.1075569,100.2911965,0.697001994,112.1138119,0.88,0.52,16.57,0.16,QPD,204211116
1599.116977,64,0.505447648,0.015160135,1110.095412,387.9922461,0.807305914,296.6322432,1,-0.53,20.17,0.27,B,204226548
148.7195287,18,0.582467278,0.159806904,152.095955,24.25520077,0.754891527,21.75090398,0.95,-0.37,10.3,0.05,B,204231861
6581.004176,106,0.499806284,0.027028759,4210.644786,715.1382187,0.723386878,598.4401874,0.85,-0.82,39.29,0.59,B,204233955
69742,71,0.663004967,0.013897752,2455831.735,22622.5,0.817875889,134707.5737,0.47,-0.03,4.24,0.01,QPS,204239132
139764.6898,44,3.059644761,0.007073989,101662.5463,24834.02849,0.722144904,23736.60689,0.95,0.75,30.61,0.11,APD,204245509
202.7766599,18,1.950055572,0.167848926,214.3694625,24.74118671,0.675354085,18.33954566,0.9,0.4,30.44,0.03,APD,204248645
31.49931957,20,0.596131539,0.318297568,12.90689959,5.76420224,0.790124218,2.953139956,0.7,-0.19,1.34,0.15,QPS,204250417
5504.092001,20,2.311789113,0.010093704,3155.20333,972.9742248,0.745957892,1461.760015,0.54,0.5,3.29,0.14,QPD,204256494
168.2108398,15,0.896166172,0.186605817,347.469179,29.7135569,0.817147327,26.84527934,0.32,-0.09,1.87,0.02,QPS,204262368
433.0197372,848,1.306270891,0.011590378,375.7099609,217.6514841,0.912600819,24.11952001,0.42,-0.48,1.75,0.08,QPS,204268916
2538.801957,41,1.878293182,0.002663367,2168.085693,806.4774469,0.700701067,825.3757126,0.24,0.57,5.1,0.49,QPD,204274536
1060.623259,9,1.925937633,0.030307403,530.2360294,261.3614218,0.782435145,111.0712081,0.57,0.46,1.77,0.18,QPD,204274743
11793.36926,23,0.785855901,0.019313128,8557.136139,3037.472263,0.808851905,3894.625973,0.52,-0.14,2.55,0.67,QPS,204277211
7659.671254,59,4.146928785,0.013325619,6302.140189,691.7472998,0.637036519,851.2288803,0.86,0.78,39.68,0.1,APD,204278916
86126.375,62,2.301725904,0.009679449,140733.0546,11867.87,0.707233406,12556.52037,0.94,0.4,18.51,0.04,APD,204281210
1790.132863,18,1.757194535,0.019094172,799.2425146,325.0590365,0.754267591,327.9216129,0.74,0.4,2.52,0.18,QPD,204290918
162.2200054,330,1.530775682,0.158878857,101.6997637,26.68524718,0.771750328,11.10458621,0.74,-0.22,1.59,0.16,QPS,204317053
361.5177488,10,1.698618453,0.060613797,203.3734617,50.81590098,0.739094922,47.17912136,0.61,0.3,2.15,0.08,QPD,204329690
81000.64935,55,0.256922722,0.004371311,63162.77349,10570.51552,0.640251869,10989.08098,0.91,-0.72,11.2,0.36,B,204342099
78.03360434,209,1.035084967,0.328939173,35.22245833,15.98081172,0.820688872,4.72991718,0.73,0.29,1.82,0.17,QPD,204344180
1187.347283,30,0.169993344,0.038605067,512.8908764,33.68120566,0.569908148,60.44891845,0.75,-1.1,6.94,0.24,B,204347422
264.9559791,780,1.329389943,0.026109671,231.9866535,89.83273086,0.874988448,14.86143046,0.66,0.2,1.58,0.08,QPS,204347824
118.8721277,20,0.887965495,0.111293803,231.8898556,24.48749182,0.767420392,21.43381472,0.62,-0.07,1.89,0.03,QPS,204360645
3106.904045,30,0.461182947,0.029090894,1872.269347,544.4445565,0.79976109,475.5258725,0.87,-0.49,26.4,0.24,B,204360807
27.0441361,224,1.277290021,0.339994419,49.6365755,6.14579515,0.809998502,2.866342555,0.62,0.07,1.94,0.07,QPS,204365840
12533.625,20,2.228938348,0.617898142,179019.8743,1206.25,0.661324476,6410.215187,0.68,-0.14,1.97,0.002,MP,204372172
1247.673364,30,1.207128627,0.006335615,1076.98249,400.3386658,0.805178695,393.8605467,0.95,0.12,5.76,0.91,S,204388640
2244.956529,31,0.662512745,0.122848334,1226.334274,388.4425538,0.776610366,300.6702037,0.89,-0.28,27.48,0.15,B,204395393
287.6727952,183,0.354507425,0.044243951,274.1366814,48.89776826,0.700758953,23.6177228,0.59,-0.68,1.64,0.07,B,204397408
898.8938198,712,1.390902196,0.0045266,1290.939666,359.5031508,0.790251062,117.2380978,0.39,0.32,3.68,0.1,QPD,204397879
4615.427189,107,0.55333505,0.004183968,4387.841176,1013.692944,0.71632833,603.1252877,0.21,0.04,13.16,0.07,QPS,204398857
583524.125,214,5.073619266,0.0029586,482251.783,93747,0.767678584,87846.31966,0.98,1.1,14.87,0.17,APD,204399980
280.0872734,724,0.481807504,0.027844037,287.130395,79.19098853,0.845539779,24.26775501,0.78,-0.12,1.79,0.1,QPS,204401119
3563.693808,16,1.811658487,0.039047551,1837.652069,470.639172,0.730424331,615.2603365,0.68,0.36,3.29,0.13,QPD,204408707
2273.566746,27,31.90415833,0.007368912,2524.722473,86.43536058,0.29214934,62.7974808,0.47,0.11,1.76,0.05,QPS,204409463
252.0992823,23,0.947138199,0.254732207,470.6552691,42.46561367,0.790161313,44.84126977,0.46,-0.03,1.97,0.02,QPS,204413641
1134.181823,36,1.042685164,0.044297862,2394.189494,196.6017658,0.595444404,205.0658865,0.89,0,5.19,0.02,S,204428864
230.8923337,550,1.558494783,0.034975808,354.8293882,54.45555306,0.819523063,15.01165739,0.41,-0.26,1.59,0.05,QPS,204434363
151.7789343,22,0.639388707,0.112014854,122.1631391,35.85585277,0.806692399,19.23537147,0.65,-0.2,1.4,0.07,QPS,204435866
1283.554704,287,0.197234462,0.008903068,1002.425111,226.2300457,0.786542571,141.7288814,1,-0.93,8.3,0.22,B,204440603
10311.54409,75,0.62365434,0.000792314,16265.7722,4100.338204,0.860168272,3053.789016,0.2,-0.33,9.62,0.07,QPS,204447221
171.1299183,89,0.511088904,0.075777923,99.09816708,17.37289963,0.71399982,7.925056796,0.83,-0.22,70.57,0.1,QPD,204449274
661.4842417,31,1.345045696,0.017330534,667.349869,114.6421676,0.780277474,71.84830906,0.55,0.32,1.87,0.04,QPD,204449389
166.2564959,18,1.196145069,0.034061147,103.6639773,54.63464116,0.82163836,24.24958658,0.12,0.11,1.81,0.1,P,204467371
3588.123023,13,0.739061124,0.017170266,1092.635274,207.6834706,0.707898912,177.6457145,0.61,0.62,2.07,0.09,QPD,204467584
4549.354465,28,3.870551196,0.009649764,2788.276058,405.555013,0.527200907,395.0515048,0.9,0.5,4.54,0.14,APD,204469637
538.5190241,13,1.774350369,0.082790448,492.5313986,58.28748484,0.652030019,49.93395726,0.94,0.26,11.91,0.06,APD,204472612
527.3626398,7,1.773469031,0.071421505,320.2078995,90.8960405,0.734432321,72.09971327,0.93,0.37,8.95,0.18,APD,204487447
690.0936781,9,4.263671692,0.042505384,249.4112354,63.76690225,0.63751189,51.0995871,0.83,0.74,3.35,0.16,APD,204489514
161.3569805,23,1.002269317,0.075439974,225.7866419,43.59992157,0.802873554,36.89968929,0.2,0.02,1.97,0.05,QPS,204495624
2205.430323,9,1.595923873,0.04634222,780.0049661,419.5077398,0.75261559,230.8959853,0.75,0.36,1.8,0.36,QPD,204496657
179.655507,26,1.004933909,0.037951034,250.8142679,55.24450312,0.795411507,50.98224722,0.12,-0.02,2.03,0.05,P,204501712
475.6922245,750,0.834369063,0.015124827,582.9655677,168.8291807,0.861752845,37.94219476,0.84,-0.16,12.18,0.05,QPS,204508462
14398.74206,80,6.053308761,0.004522306,13086.13675,2463.793045,0.647151339,2401.298665,0.88,0.98,7.52,0.66,APD,204512343
1329872.875,115,2.192228986,0.001393318,1057698.401,393273,0.810947384,246896.117,0.89,0.52,7.33,0.41,APD,204514546
900.0128773,404,3.367425524,0.01655865,714.0719863,145.454278,0.783704173,73.26960601,0.86,0.89,55.66,0.09,APD,204530046
385.4836305,16,1.31938124,0.062866006,209.7699936,51.63125714,0.726915906,22.12501268,0.82,0.26,61.21,0.11,QPD,204538777
